"state","top_5","top_5_filtered"
"Illinois","amas, favorite, m, pop, artist","amas, favorite, m, pop, artist, im, btstwt, duo, group, bts, early, female, year, hiphop, song, harry, latto, styles, will, album, people, taylor, vote, afrobeats, georgia, like, swift, wizkid, 8th, can, make, new, day, democrats, house, arrested, b, category, country, democrat, desantis, economy, elections, first, keep, local, november, ronfilipkowski, votes, 1, 2, amas   , ballot, blue, cardi, election, get, minaj, nicki, rampb, reply, retweet, reverendwarnock, s, security, social, starts, voted, youre, 2022, abortion, beyoncé, don’t, ever, every, help, just, male, midterm, need, nickiminaj, open, please, polls, record, right, state, taylors, today, trump, us, version, video, voter, 20, amp, begins, breaking, cast, democracy, dont, f, florida, go, gop, hes, know, lets, mail, music, now, one, re, red, republican, republicans, rights, seen, stop, sure, time, turned, voters"
"Indiana","amas, favorite, pop, bts, btstwt","amas, favorite, pop, bts, btstwt, im, m, duo, group, artist, black, early, vote, will, album, ever, female, hes, house, said, white, year, abortion, day, desantis, election, florida, georgia, get, gop, just, marco, mmpadellan, people, ronfilipkowski, rubio, stop, thanks, 2022, arrested, beyoncé, blue, can, cast, days, democrat, democrats, elections, every, f, first, harry, help, know, local, mail, november, record, red, republican, republicans, retweet, state, styles, video, votes, years, yes"
"Iowa","early, iowa, today, amas, artist","early, today, amas, artist, harry, m, styles, vote, year, democrats, first, one, republican, starts, arrested, ballot, begins, blue, breaking, can, cast, day, desantis, elections, go, keep, like, make, new, now, numbers, people, re, record, republicans, right, rights, s, state, time, trump, us, voters, votes"
"Kansas","kansas, november, now, vote, 8th","november, now, vote, 8th, amp, ballot, early, election, know, m, mail, make, us, 20, album, amas, cast, day, democracy, democrats, georgia, gop, im, just, numbers, people, retweet, rights, security, social, state, time, voted, want, youre"
"Kentucky","favorite, amas, btstwt, duo, pop","favorite, amas, btstwt, duo, pop, group, 2022, can, early, georgia, get, herschel, im, m, walker, 8th, artist, ballot, begins, bts, democrat, democrats, election, female, hiphop, keep, like, minaj, nicki, now, people, polls, republicans, reverendwarnock, said, starts, time, today, us, vote, will, yes"
"Louisiana","artist, amas, favorite, m, vote","artist, amas, favorite, m, vote, beyoncé, early, female, im, pop, will, people, retweet, rights, s, 2, album, bts, can, day, desantis, elections, first, midterm, re, reply, republican, year, 1, 2022, 8th, abortion, amas   , arrested, black, category, country, days, democracy, dont, don’t, election, ever, florida, georgia, get, go, gop, hiphop, house, latto, lets, like, local, minaj, new, nicki, november, red, republicans, right, ronfilipkowski, said, security, social, starts, swift, taylor, taylors, thanks, today, version, voted, votes, want, white, yes, youre"
"Maine","amas, amendment, artist, board, concerned","amas, artist, don’t, favorite, female, hiphop, m, republicans, rights"
"Maryland","favorite, amas, artist, m, duo","favorite, amas, artist, m, duo, early, im, pop, btstwt, group, vote, female, hiphop, black, bts, reply, can, georgia, minaj, nicki, abortion, b, breaking, cardi, day, democracy, election, florida, help, make, november, privacy, right, starts, today, voter, votes, will, year, 8th, afrobeats, amas   , ballot, blue, cast, country, dont, don’t, ever, first, get, hes, just, keep, latto, lets, mail, male, need, new, nickiminaj, now, numbers, one, polls, rampb, record, retweet, reverendwarnock, ronfilipkowski, song, thanks, time, voters, want, white, wizkid, women, years, youre"
"Massachusetts","amas, artist, favorite, im, early","amas, artist, favorite, im, early, taylor, vote, will, female, people, swift, year, 1, 2, economy, m, rights, b, blue, bts, country, day, desantis, election, f, like, security, abortion, album, amp, begins, btstwt, can, cardi, category, duo, florida, georgia, get, group, herschel, hes, hiphop, just, lets, make, marco, pop, red, retweet, rubio, social, state, taylors, today, version, voters, votes, walker, 20, 8th, arrested, ballot, breaking, cast, days, democrat, dont, don’t, first, go, gop, harry, house, keep, know, mail, mmpadellan, music, november, numbers, open, re, record, republicans, roe, said, starts, styles, time, trump, video, voted, voter, youre"
"Michigan","amas, favorite, artist, im, female","amas, favorite, artist, im, female, early, georgia, b, cardi, hiphop, get, rights, vote, will, election, m, november, today, blue, day, first, minaj, nicki, said, amp, breaking, btstwt, can, country, days, democracy, don’t, music, republican, s, state, 20, 2022, black, duo, elections, group, herschel, just, now, one, pop, rampb, red, security, song, voted, voter, walker, women, ballot, begins, beyoncé, bts, economy, go, gop, like, make, mmpadellan, numbers, polls, record, retweet, right, social, sure, time, us, want, year, youre, 1, 8th, abortion, album, attorneycbruce, cast, democrat, dont, ever, every, havent, hes, keep, latto, lets, local, mail, male, marco, midterm, new, open, people, re, reply, republicans, reverendwarnock, roe, rubio, seen, starts, stop, swift, taylor, turned, voters, votes"
