"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"08","Oregon","OR","rt jsolomonreports delaware supreme court rules universal mailin voting unconstitutional  just  news httpstcom6cm7vjar4",1,1,0,1,0,0,0,0,1,1
"08","Tennessee","TN","rt realsaavedra breaking delaware supreme court bans noexcuse mailin voting",1,1,0,1,0,0,0,0,0,1
"08","Arizona","AZ","rt democracydocket 🚨breaking delaware supreme court strikes   states noexcuse mailin voting  sameday registration laws ru…",1,1,0,1,0,0,0,0,0,1
"08","New Jersey","NJ","rt newsmax nobymail delaware supreme court finds unrestricted mailin voting  sameday voter registration  violation  state con…",2,1,0,2,0,1,1,0,1,1
"08","Virginia","VA","rt betoorourke  republican  voting  us  “ greg abbott  done   women  little girls   state  texas …",0,0,0,0,0,0,0,0,0,0
"08","Texas","TX","rt realsaavedra breaking delaware supreme court bans noexcuse mailin voting",1,1,0,1,0,0,0,0,0,1
"08","Florida","FL","potus 
 counteracting  congressional laws must stop
 instance  voting rights act dark money gun legis… httpstcod9eeuqtcff",2,1,0,1,1,1,1,1,1,1
"08","Missouri","MO","rt titaniumartnerd angrystaffer    psa  everyone please go online  check  voting status  make sure  haven’t …",0,0,0,0,0,0,0,1,0,2
"08","Georgia","GA","rt adambrandon breaking delaware supreme court rules universal mailin voting amp  day registration unconstitutional",1,1,0,1,0,0,0,0,1,1
"08","Illinois","IL","rt realsaavedra breaking delaware supreme court bans noexcuse mailin voting",1,1,0,1,0,0,0,0,0,1
"08","Kansas","KS","rt guerrierest breaking big delaware supreme court rules mailin voting unconstitutional  strikes  sameday registration

hell ye…",2,1,1,2,0,1,0,0,2,1
"08","Indiana","IN","rt chicago1ray breakingdelaware supreme court rules mailin voting unconstitutional winning",1,2,1,1,1,1,1,1,1,2
"08","Illinois","IL","rt shotgunbonnie mail  voting  now banned  biden’s state…
 states need  get sued  follow 
voter id required …",0,1,0,0,0,0,0,0,0,0
"08","New Mexico","NM","rt jinniesarchives streaming amp voting deal 🎫

   rt  likes goals left

⏰  5 hours left
💬  ✅
❤️  5 likes
🔁  74 retweet…",0,1,0,0,1,0,1,1,0,1
"08","Illinois","IL","rt democracydocket 🚨alert delaware supreme court strikes   state’s noexcuse mailin voting amp sameday registration laws finding…",1,1,0,1,0,0,0,0,0,1
"08","Michigan","MI","rt adambrandon breaking delaware supreme court rules universal mailin voting amp  day registration unconstitutional",1,1,0,1,0,0,0,0,1,1
"08","Montana","MT","rt danielleegnew buchanan  37 points behind rosendale  indie voting base penny4congress   five points behind  dem voting b…",0,0,1,0,0,0,0,2,0,0
"08","Florida","FL","rt dangryblack1  campaign failed
 told  woman  aint voting   still let  vuck",0,0,0,0,0,0,0,0,0,0
"08","Louisiana","LA","votingblueintx datelinenbc    drug dealer   picking  drugs",0,0,0,0,0,0,0,0,0,0
"08","Vermont","VT","rt proudelephantus im voting  straight red ticket ",0,0,0,0,0,0,0,0,0,0
"08","Texas","TX","rt adambrandon breaking delaware supreme court rules universal mailin voting amp  day registration unconstitutional",1,1,0,1,0,0,0,0,1,1
"08","Colorado","CO","rt democracydocket 🚨breaking delaware supreme court strikes   states noexcuse mailin voting  sameday registration laws ru…",1,1,0,1,0,0,0,0,0,1
"08","Georgia","GA","rt angelabelcamino 32 days til  midterms retweet    voting blue 🌊",0,0,0,0,0,1,0,0,0,0
"08","Florida","FL","rt guerrierest breaking big delaware supreme court rules mailin voting unconstitutional  strikes  sameday registration

hell ye…",2,1,1,2,0,1,0,0,2,1
"08","California","CA","rt brandonwest01 lulu82824 secondharvestoh votingdems2022 votolatino votevets vp potus hitrecordjoe thank  beyond belief  w…",0,0,0,0,0,0,0,0,0,0
"08","California","CA","rt titaniumartnerd angrystaffer    psa  everyone please go online  check  voting status  make sure  haven’t …",0,0,0,0,0,0,0,1,0,2
"08","Illinois","IL","glennbeck  youre voting   turkish asset youre  traitor",1,0,1,1,0,1,0,0,1,0
"08","Nevada","NV","rt seanmdav delaware supreme court noexcuse mailin voting sameday registration  unconstitutional httpstco26lclr3mna",1,1,0,1,0,0,0,0,1,1
"08","California","CA","rt devincow randpaul boy   going   mad     see  voting record",1,0,2,1,0,1,0,0,2,0
"08","California","CA","rt votingunnie ‼️ available‼️

📌show champion  korean pollglobal 
✅ 200k chamsim  
💵 2  600 votes 

 📌starplanet
✅ 400k jellies

📌mub…",0,1,0,0,1,0,0,2,0,1
"08","Virginia","VA","rt devincow randpaul boy   going   mad     see  voting record",1,0,2,1,0,1,0,0,2,0
"08","Illinois","IL","rt willmeyerpa independent  wants assault weapons banned r21bobbie  voting blue  wants  meet  people like   will …",1,0,0,1,0,1,0,0,1,0
"08","California","CA","rt blackknight10k  youre voting  democrats     ballot  november    less  1k followers reply  …",0,1,0,0,0,0,0,1,0,1
