"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"03","Maine","ME","rt nbcnews rt marymurraynbc former brazilian president lula giving fidel castro soccer jersey httptcoqrdyovocsv",0,0,0,0,0,0,0,1,0,2
"03","Kentucky","KY","kaitwhiteside trust  process  win soccer trophies   louisville",0,0,0,0,0,0,0,1,0,0
"03","Indiana","IN","stevenrose  fell  love   weight room  results  progress  high school  college soccer… httpstcokzx1j8njed",0,2,1,1,3,2,1,2,2,3
"03","North Carolina","NC","soccerlord69 taylortwellman rodneyharrison dungy  shit   rodney harrison  saying  important  n… httpstcovzlwigerwb",1,0,1,0,0,0,0,1,1,1
"03","New York","NY","ussoccermensbot jasonas07 agreed   two   tillman  ldt  def go  mt",0,0,0,0,0,0,0,1,0,1
"03","California","CA","rt nojumper  100 people died   riot broke    indonesia soccer game httpstcoqelph7zvgf",1,0,0,2,0,1,0,0,2,0
"03","Texas","TX","morganpaley solarecnl06 topdrawersoccer prepsoccer mcarrsoccer coachbardmartel goughy23 ouwsoccer congrats  deserve ",1,1,0,0,0,0,0,1,0,1
"03","Texas","TX","bobcat ladies soccer feeling footloose  hoco  week httpstcoflfmtmbcyn",1,1,1,1,1,1,1,1,1,1
"03","California","CA"," fifa   control  domestic games   advised   use  tear gas  soccer stadiums httpstco8mig6gmnim",0,0,0,0,0,0,0,1,0,0
"03","Georgia","GA","rt nojumper  100 people died   riot broke    indonesia soccer game httpstcoqelph7zvgf",1,0,0,2,0,1,0,0,2,0
"03","Indiana","IN","rt ballstatesoccer goooaaalll

lexifraley1 outruns  bgsu defense  rips  first touch   keeper  give bsu  lead

…",1,1,0,1,0,0,0,0,0,2
"03","New Jersey","NJ","rt nbcsportssoccer  first player  score  hattrick  3 consecutive home matches erling haaland 

📺 peacock 
myplmorning https…",0,1,0,0,1,0,1,0,1,2
"03","North Carolina","NC","rt plpboyssoccer dig pink   huge success thank  plp volleyball   great sports altogether  raised almost 1000  …",0,1,0,0,1,0,0,0,0,1
"03","Connecticut","CT","can  imagine   happened    us 

indonesia soccer stampede kills 125  police use tear gas… httpstco7gc6colxj4",0,0,0,1,0,0,0,1,0,1
"03","Pennsylvania","PA","mt pleasant girls   new  1  class 2a

vikingnationmp mpagirlssoccer triblivehssn",0,1,0,0,1,0,1,1,0,1
"03","Nebraska","NE"," midland womens soccer team dropped  saturday morning matchup   college  saint mary 21 allowing bo… httpstcohtdrckds5s",0,1,0,0,1,0,1,2,0,1
"03","Alabama","AL","ncaa d2 mens soccer
christian brothers 2
uah 1
final

cbumsoc 624 w1
512 away w1
323  gsc w1… httpstcoxbi9z3wpov",0,0,0,0,0,0,0,0,0,0
"03","California","CA","rt funsoccermilf  little video   sundayrt   want  httpstcodyltufisup",0,0,0,0,0,0,0,0,0,0
"03","Wisconsin","WI","joshgolberg beloitsoccer  maybe leonard    things maybe   know lance     things… httpstcolyqjwhtcfe",0,0,0,0,0,0,0,0,0,0
"03","Indiana","IN","    coach  wants  learn    transition soccer style     course  … httpstcohohxf6izim",0,0,0,0,0,0,0,1,0,1
"03","Tennessee","TN","adds  soccer caucus pics httpstcodylrwa43ul",0,0,0,0,0,0,0,0,0,0
"03","New York","NY","rt foxsoccer still    copa lib winner  river plates juan quintero 🔥🔥

httpstcoi4ztmhu1cs",0,1,0,0,1,0,1,0,0,1
"03","Texas","TX","rumblestudio smart alec show episode 13 talking  pro soccer player    takes  make    mls… httpstcocjxczimupk",0,0,0,0,0,0,0,1,1,0
"03","Louisiana","LA","rt mikehudema 140000 soccer fields  forest  one month  amazon  lungs   earth  destroyed   eyes 

 …",1,0,0,1,0,1,0,0,1,0
"03","Massachusetts","MA","rt gonuwsoccer  important three points   pride today 

📰 httpstcodaaibnrop6

howlinhuskies httpstcoevhjbb2rek",0,0,0,0,1,0,0,1,0,2
"03","Pennsylvania","PA","delayed 90 seconds 2499
202122 topps uefa champions league soccer blaster box seale
source ebay listing
rea… httpstcogklfbhq5in",0,0,0,0,0,0,0,0,1,1
