"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"19","Utah","UT","rt nickyads head  25 min   discuss  iconic “respect  west” adidasoriginals show  2011

“culture   main driving…",0,1,0,0,1,0,0,2,0,3
"19","New York","NY","check   listing  just added   poshmark closet adidas sneakers size 10k new  box… httpstco1448nkfo1e",0,0,0,0,0,0,0,0,0,0
"19","Massachusetts","MA","shiftclckgaming nhlbruins adidashockey  already   90s sweater w  2021 reverse retro   8795 sw… httpstco1eb6wwhppn",0,0,0,0,0,0,0,0,0,0
"19","Michigan","MI","adidas   new go  🖕🏽nike amp 🖕🏽 hypocrisy  especially 🖕🏽🖕🏽🖕🏽  thinking  one  notice insulti… httpstcolx0yuqwpc1",0,0,0,0,0,0,0,0,1,0
"19","Texas","TX","yeezy 450  dropping  confirmed sign  now adidasconfirmed httpstcockcs09quyc httpstcobxaqigqms0",0,0,0,0,0,0,0,1,0,1
"19","Oregon","OR","rt justfreshkicks gs sizes via footlocker
 simpsons x adidas superstar ‘marge’
gt httpstco4yjtqi1toc httpstcooaipksezd1",0,0,0,0,1,0,0,1,0,1
"19","Texas","TX"," 20072011 lc drip   pull   letterman amp adidas top 10’s  back   day  blast   past da… httpstcoxrhhxspixl",1,1,0,1,0,0,1,1,1,2
"19","Colorado","CO","jaysonramsey9 avalanche adidashockey reverse retro jerseys get released tomorrow",0,1,0,1,0,1,1,0,1,0
"19","New York","NY","rt wearelowes   important  us  get  acoustic  adidas amp pearls released  thanks  ultrarecords solardomusic vintagecul…",0,0,0,0,0,0,0,1,0,1
"19","Massachusetts","MA","check   listing  just added   poshmark closet adidas adizero primeknit football cleats redwhite gy30… httpstcokui1zaj0hr",0,1,0,0,1,0,0,0,0,1
"19","California","CA","rt adidaspup owner said  stay   position apparently  easy access 
im  sure   means 🤔 httpstcou1gfha0vmx",0,0,0,0,0,0,0,0,0,0
"19","Pennsylvania","PA","rt penguins history never repeats reverseretro

letsgopens x adidashockey httpstcoxdfzgkfe4f",0,0,0,0,0,0,0,0,0,0
"19","New York","NY","rt buffalosabres history never repeats reverseretro

letsgobuffalo x adidashockey httpstcodzghxracu4",0,0,0,0,0,0,0,0,0,0
"19","New York","NY","rt capitals history never repeats reverseretro

allcaps x adidashockey httpstcovebvbhojjd",0,0,0,0,0,0,0,0,0,0
"19","Massachusetts","MA","rt nhlbruins history never repeats reverseretro

nhlbruins x adidashockey httpstcof9o7g5zbql",0,0,0,0,0,0,0,0,0,0
"19","Maryland","MD","rt adidashockey history never repeats reverseretro

adidashockey x nhl httpstcojvy4beqaqv",0,0,0,0,0,0,0,0,0,0
"19","Massachusetts","MA","rt nhlbruins history never repeats reverseretro

nhlbruins x adidashockey httpstcof9o7g5zbql",0,0,0,0,0,0,0,0,0,0
"19","New Jersey","NJ","devrickus garrettnjd30 yuuuzey njdevils adidashockey  jerseys   best",0,0,0,0,0,0,0,0,0,0
"19","Indiana","IN"," need apparel   adidasus ducksflytogether",0,0,0,0,0,0,0,0,0,0
"19","New York","NY","rt justfreshkicks adidas yeezy 500 utility black restocking  month httpstcopytnsfmpcq httpstcow6nme05ntd",0,0,0,0,0,1,0,0,1,1
