"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"14","Texas","TX","rt kicksonfire adidas yeezy slide “azure” 💙✨ thoughts  httpstconecqq8xi4y",0,0,0,0,0,0,0,0,0,0
"14","North Carolina","NC","check   listing  just added   poshmark closet adidas childs warmup jacket size 3t color blue… httpstcoqgmf1lvvub",0,0,0,0,0,1,0,0,0,0
"14","Virginia","VA","rt wavynews  20 years barbara clarke ruiz  behind  scenes  adidas nike venus williams  others   met  koh…",0,0,0,0,0,0,0,0,0,0
"14","New York","NY","rt dicksonkindole2 adidas free nft hoodie 👀 josh818 kazie809 thebekalicious gnortpoum nicholasdog ke1vincheng mintingalpha giadal…",0,0,0,0,0,0,0,0,0,0
"14","Illinois","IL","rt oxepaulovictor adidas boy 🏋🏽‍♂️ httpstcoirmhty3pye",0,0,1,0,0,0,0,0,1,0
"14","New York","NY","rt usman28387901 adidas free metaverse hoodie 👀 leotocrypto monicacade2 suzuyasss baksacsaba3 joeygartner vikas02390321 ngminht89…",0,0,0,0,0,0,0,0,0,0
"14","New York","NY","adidas morocco resolve row  algeria football jerseys  barrons httpstcouxzsagvld9",1,1,0,0,1,0,0,0,1,1
"14","Texas","TX","white snakeskin adidas crazy 1 🐍 httpstcoeqckmllicc",1,1,0,1,1,1,0,1,1,1
"14","Texas","TX","adidasking5 thanos 🤝 traffic  inevitable",0,0,0,0,0,0,0,0,0,0
"14","New York","NY","rt aliansari9904 adidas free nft hoodie 👀 gorselevi magalirdz28 hadycheikh tigerdhadak 185devill scurry245 5ever1n copypersuasiv…",0,0,0,0,0,0,0,0,0,0
