"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"15","Louisiana","LA"," socalled sitting president tried   nancy pelosi   sitting vice president murdered context mat… httpstcojca6ijvhpn",0,0,0,0,0,0,0,1,1,1
"15","Florida","FL","rt fakedanuggla phillies won  home playoff game   first time since two presidents ago can’t relate",0,1,0,0,0,0,0,0,0,0
"15","Florida","FL","rt b52malmet president biden knows  need   something httpstcoa7nkbexz5o",0,0,0,0,0,0,0,1,0,1
"15","Pennsylvania","PA","rt occupydemocrats breaking president biden calls  congress  finally ban assault weapons   mass shooting  raleigh claims 5 l…",2,2,2,2,1,0,1,4,4,2
"15","North Dakota","ND","rt adamparkhomenko  speaker   united states house  representatives helped save  vice president   united states  bei…",0,0,0,0,1,0,0,3,1,3
"15","Utah","UT","rt toddstarnes  nancy pelosi threatened violence   sitting president   united states just   clear",1,0,0,1,0,1,0,2,1,2
"15","California","CA","rt adamparkhomenko  speaker   united states house  representatives helped save  vice president   united states  bei…",0,0,0,0,1,0,0,3,1,3
"15","New York","NY","rt stoolpresidente literal madhouse   httpstcoqig6wiinxl",0,0,0,0,0,0,0,0,0,0
"15","Florida","FL","rt timswain imagine   video surfaced  president trump talking  punching  nancy pelosi instead    way around …",0,0,0,0,0,0,1,1,0,1
"15","Illinois","IL","rt marklevinshow 1 breaking news
pelosis jan 6 committee failed miserably   found   shred  evidence tying president trump …",0,0,0,0,1,1,1,3,1,2
"15","Florida","FL","rt kristinwilson sen chuck schumer  army sec’y ryan mccarthy  hearing  rumor  thenpresident trump blocked dcng  rus…",0,0,0,1,0,1,1,0,2,0
"15","Colorado","CO","rt crewcrew   president trump    shouldve   ",0,0,0,0,0,0,1,1,0,1
"15","New Jersey","NJ","rt ellenkurz retweet   think speaker nancy pelosi  earned  presidential medal  freedom",0,1,0,0,2,0,1,2,0,2
"15","Illinois","IL","rt occupydemocrats breaking president biden takes  wellearned victory lap says  social security checks  going   medica…",0,1,0,0,1,0,0,2,0,2
"15","Nevada","NV","rt trump4prison24 repandybiggsaz   conspiracy like   build   outer edges  go step  step 

—  presidents…",1,0,0,2,0,1,1,0,1,1
"15","Illinois","IL","rt occupydemocrats breaking president biden takes  wellearned victory lap says  social security checks  going   medica…",0,1,0,0,1,0,0,2,0,2
"15","Florida","FL","rt leannccw1 today  october 14th 2022 donald trump   greatest president  united states history",0,0,0,0,0,0,1,2,0,2
"15","Wisconsin","WI"," victorjacobo   clown wbadebate fact checkers  tonight 🤡⬇️

 presidential election  2020 … httpstcogoir1lt6t1",0,1,0,0,1,0,1,1,0,1
"15","Indiana","IN","repjimbanks president   charge  national guard  pelosi ’re  govt  don’t know ",0,0,0,1,0,0,0,3,0,3
"15","California","CA","rt gscucci remember  florida fats said mar  lardo   southern white house maybe president biden  oblige   take …",0,1,0,0,1,0,0,3,2,2
"15","Pennsylvania","PA","maga bot tweet president donald j trump  still    tunnels   american people know ",0,0,0,0,0,0,1,1,0,1
"15","Missouri","MO","rt wtpblue gotv  33 days  nov 8th
 
theres   thing   vote  doesnt matter
president obama
 
check  registration
r…",1,1,0,0,1,1,1,2,1,2
"15","New York","NY","rt wterrence nancy pelosi  asking people   share  video   threatening president trump  jan 6th

 said
“ hope  c…",1,2,1,1,2,0,2,3,1,3
"15","Pennsylvania","PA","rt cjane0123 jamesbradleyca lol  sitting president  like  twiceimpeached disgraced failure   former president right bu…",1,0,2,1,0,2,0,1,2,1
"15","Arizona","AZ","rt itsjohnwalsh  speaker   house wants  punch president trump 🤣🥊  money   pelosi

 trumpisgoingtojail january6thcom…",2,1,0,1,1,1,3,2,1,2
"15","Massachusetts","MA","rt aaronparnas  just applied  student loan forgivness thank  president biden

apply    qualify httpstcou2xufyxhvz",0,0,0,0,0,0,0,1,0,1
"15","Arkansas","AR","rt adamparkhomenko  speaker   united states house  representatives helped save  vice president   united states  bei…",0,0,0,0,1,0,0,3,1,3
"15","West Virginia","WV","rt endwokeness ukraine  russian bombings 

nope   oakland california  vice president’s hometown httpstcotibuxtajdh",0,0,0,0,0,0,0,1,1,1
"15","Texas","TX","rt crewketo actbrigitte  lost followers   posting nonsense … trump    president 🙄🙄🙄",0,0,0,0,0,1,1,1,2,1
"15","New York","NY","rt newtimesrwanda  opening  youth connekt africa summit  kigali  thursday president kagame reminded  africa    c…",1,1,0,1,1,0,1,1,0,2
"15","Georgia","GA","   blue blazes   mean   actually   president  consistently speaks like    lot… httpstcogaj9eu9ydm",0,0,0,0,0,1,0,1,0,1
"15","New Jersey","NJ","rt adamparkhomenko  speaker   united states house  representatives helped save  vice president   united states  bei…",0,0,0,0,1,0,0,3,1,3
"15","Pennsylvania","PA","rt leslibless president trumps letter  j6 production committee httpstcojtv6gtfx8e",0,2,0,0,0,0,0,2,0,2
